Id,PostTypeId,Tags,AnswerCount,CreationDate,TagName,Count
"4","1","<c#><floating-point><type-conversion><double><decimal>","13","2008-07-31 21:42:52","css","808936"
"6","1","<html><css><internet-explorer-7>","7","2008-07-31 22:08:08","",""
"7","2","","","2008-07-31 22:17:57","",""
"9","1","<c#><.net><datetime>","76","2008-07-31 23:40:59","c#","1626306"
"11","1","<c#><datetime><time><relative-time-span>","42","2008-07-31 23:55:37","",""
"12","2","","","2008-07-31 23:56:41","ruby","229307"
"13","1","<html><browser><timezone><user-agent><timezone-offset>","28","2008-08-01 00:42:38","",""
"14","1","<.net><math>","14","2008-08-01 00:59:11","lisp","7069"
"16","1","<c#><linq><web-services><.net-3.5>","7","2008-08-01 04:59:33","python","2219927"
"17","1","<mysql><database><binary-data><data-storage>","9","2008-08-01 05:09:55","java","1921235"
"18","2","","","2008-08-01 05:12:44","regex","261331"
"19","1","<performance><algorithm><language-agnostic><unix><pi>","23","2008-08-01 05:21:22","xml","215037"
"22","2","","","2008-08-01 12:07:19","sql","675367"
"24","1","<mysql><database><triggers>","7","2008-08-01 12:12:19","",""
"25","1","<c++><c><sockets><mainframe><zos>","9","2008-08-01 12:13:50","",""
"26","2","","","2008-08-01 12:16:22","j#","62"
"27","2","","","2008-08-01 12:17:19","browser","26684"
"29","2","","","2008-08-01 12:19:17","",""
"30","2","","","2008-08-01 12:22:40","database","194658"
"31","2","","","2008-08-01 12:22:51","",""
"33","2","","","2008-08-01 12:26:39","language-agnostic","8357"
"34","1","<arrays><actionscript-3><apache-flex>","8","2008-08-01 12:30:57","unix","47604"
"36","1","<sql><sql-server><datatable><rdbms>","9","2008-08-01 12:35:56","",""
"39","1","<c#><.net><vb.net><timer>","3","2008-08-01 12:43:11","",""
"42","1","<php><plugins><architecture><hook>","8","2008-08-01 12:50:18","",""
"44","2","","","2008-08-01 12:55:42","structuremap","1726"
"45","2","","","2008-08-01 12:56:37","",""
"48","1","<html><forms><form-submit><submit-button>","29","2008-08-01 13:01:17","architecture","17375"
"49","2","","","2008-08-01 13:02:51","forms","113491"
"51","2","","","2008-08-01 13:07:52","",""
"52","2","","","2008-08-01 13:08:59","aptana","1760"
"53","2","","","2008-08-01 13:08:59","eclipse","124697"
"56","2","","","2008-08-01 13:10:16","",""
"58","2","","","2008-08-01 13:14:30","linux","228562"
"59","1","<c#><linq><.net-3.5>","7","2008-08-01 13:14:33","",""
"60","2","","","2008-08-01 13:14:40","",""
"61","1","<mime><file-type><office-2007>","1","2008-08-01 13:17:20","memory","36622"
"62","2","","","2008-08-01 13:18:37","",""
"65","2","","","2008-08-01 13:20:44","sitemap","2123"
"66","1","<linq><.net-3.5>","4","2008-08-01 13:20:46","navigation","14945"
"68","2","","","2008-08-01 13:22:04","",""
"71","2","","","2008-08-01 13:37:59","theory","1813"
"72","1","<ruby><rdoc>","2","2008-08-01 13:38:27","sql-server","337200"
"73","2","","","2008-08-01 13:40:16","csv","90546"
"76","2","","","2008-08-01 13:44:35","compression","9323"
"77","2","","","2008-08-01 13:46:00","",""
"78","2","","","2008-08-01 13:53:06","",""
"79","1","<eclipse><svn><aptana><subclipse>","4","2008-08-01 13:56:33","",""
"80","1","<apache-flex><actionscript-3><air>","3","2008-08-01 13:57:07","apache","91830"
"81","2","","","2008-08-01 14:03:22","versioning","3163"
"82","2","","","2008-08-01 14:06:28","media","3341"
"84","2","","","2008-08-01 14:10:55","",""
"85","1","<php><sql><database><flat-file>","11","2008-08-01 14:19:52","",""
"86","2","","","2008-08-01 14:23:28","",""
"87","2","","","2008-08-01 14:26:22","printing","23294"
"88","1","<linux><winapi><visual-c++><unix><timer>","10","2008-08-01 14:36:18","youtube","15998"
"89","2","","","2008-08-01 14:41:01","",""
"90","1","<svn><tortoisesvn><branch><branching-and-merging>","3","2008-08-01 14:41:24","pdf","51394"
"92","2","","","2008-08-01 14:45:37","",""
"93","2","","","2008-08-01 14:46:53","",""
"98","2","","","2008-08-01 14:53:47","",""
"99","2","","","2008-08-01 14:55:08","filesystems","9662"
"103","2","","","2008-08-01 15:11:59","",""
"104","1","<.net><performance><memory-leaks><com-interop>","15","2008-08-01 15:12:34","",""
"107","2","","","2008-08-01 15:19:25","",""
"108","1","<windows><svn><64-bit>","8","2008-08-01 15:22:29","",""
"109","1","<c#><sql><vb.net><ascii><hex>","2","2008-08-01 15:23:05","",""
"110","2","","","2008-08-01 15:23:33","ide","11020"
"111","2","","","2008-08-01 15:27:23","",""
"112","2","","","2008-08-01 15:28:12","",""
"113","2","","","2008-08-01 15:32:11","",""
"114","2","","","2008-08-01 15:32:42","arrays","418315"
"116","2","","","2008-08-01 15:34:43","cloud","9236"
"120","1","<sql><asp.net><xml><sitemap>","1","2008-08-01 15:50:08","",""
"123","1","<java><xml><csv><data-conversion>","16","2008-08-01 16:08:52","",""
"124","2","","","2008-08-01 16:09:47","",""
"126","1","<java><php><oop><theory>","18","2008-08-01 16:10:30","x11","3453"
"127","2","","","2008-08-01 16:13:47","gtk","8580"
"128","2","","","2008-08-01 16:19:04","",""
"129","1","<mysql><sql-server><csv><sql-server-2005><bcp>","5","2008-08-01 16:22:42","opengl","38182"
"133","2","","","2008-08-01 16:31:43","",""
"134","1","<.net><database><xsd>","1","2008-08-01 16:33:38","sorting","77494"
"135","2","","","2008-08-01 16:36:42","",""
"139","2","","","2008-08-01 16:43:30","string","185230"
"141","2","","","2008-08-01 16:47:54","",""
"142","2","","","2008-08-01 16:56:55","ant","15348"
"143","2","","","2008-08-01 17:01:27","phing","383"
"145","1","<c#><.net><file><compression>","9","2008-08-01 17:13:08","",""
"146","1","<php><apache><logging><download><analytics>","8","2008-08-01 17:14:58","email","59347"
"147","2","","","2008-08-01 17:23:43","",""
"148","2","","","2008-08-01 17:24:24","generics","50459"
"149","2","","","2008-08-01 17:28:24","",""
"151","2","","","2008-08-01 17:30:56","",""
"152","2","","","2008-08-01 17:33:58","lucene","11961"
"153","2","","","2008-08-01 17:42:04","vb6","10854"
"154","2","","","2008-08-01 17:45:06","iphone","220131"
"155","2","","","2008-08-01 17:47:54","",""
"158","2","","","2008-08-01 17:51:55","",""
"159","2","","","2008-08-01 17:52:46","",""
"160","2","","","2008-08-01 17:54:08","",""
"161","2","","","2008-08-01 17:57:14","",""
"163","1","<.net><asp.net><svn><versioning>","7","2008-08-01 18:00:13","",""
"164","1","<windows><embed><media>","10","2008-08-01 18:02:22","",""
"165","2","","","2008-08-01 18:04:25","",""
"166","2","","","2008-08-01 18:08:16","",""
"167","2","","","2008-08-01 18:08:53","",""
"169","2","","","2008-08-01 18:23:59","openid","3712"
"170","2","","","2008-08-01 18:24:30","",""
"173","1","<sql-server><database><svn><version-control>","22","2008-08-01 18:33:08","data-binding","23955"
"174","1","<c#><html><web-services><printing>","6","2008-08-01 18:33:48","",""
"175","1","<youtube><reverse-engineering>","3","2008-08-01 18:36:14","",""
"176","1","<linux><apache><virtualhost>","11","2008-08-01 18:37:40","beta","694"
"180","1","<algorithm><language-agnostic><colors><color-space>","8","2008-08-01 18:42:19","",""
"183","2","","","2008-08-01 18:51:12","authentication","76216"
"190","2","","","2008-08-01 19:21:57","deployment","26717"
"192","1","<c#><.net><asp.net><internationalization><globalization>","4","2008-08-01 19:23:13","",""
"194","1","<sql-server><migration>","4","2008-08-01 19:26:37","",""
"195","2","","","2008-08-01 19:28:25","",""
"197","2","","","2008-08-01 19:34:49","random","35654"
"199","2","","","2008-08-01 19:36:46","",""
"206","2","","","2008-08-01 19:52:14","",""
"207","2","","","2008-08-01 19:58:45","",""
"210","2","","","2008-08-01 20:02:08","metacity","9"
"212","2","","","2008-08-01 20:05:12","",""
"227","1","<php><arrays><mapping><tag-cloud>","9","2008-08-01 21:40:55","iteration","10959"
"229","2","","","2008-08-01 21:46:12","",""
"231","1","<windows><mailto>","2","2008-08-01 22:08:14","db2","12972"
"233","2","","","2008-08-01 22:12:30","",""
"234","1","<mysql><sql-server><sql-server-2005>","4","2008-08-01 22:13:34","",""
"236","2","","","2008-08-01 22:20:05","embedded","11452"
"238","2","","","2008-08-01 22:22:37","oledb","4456"
"243","2","","","2008-08-01 22:31:36","django","312272"
"246","1","<.net><database><sqlite>","3","2008-08-01 22:34:42","title-case","101"
"253","2","","","2008-08-01 23:10:56","globalization","1454"
"258","2","","","2008-08-01 23:17:53","",""
"260","1","<c#><.net><scripting>","10","2008-08-01 23:22:08","",""
"263","1","<c><linux><gtk><x11>","3","2008-08-01 23:27:24","registry","7408"
"264","1","<c++><concurrency><database-performance><berkeley-db>","5","2008-08-01 23:28:51","cruisecontrol.net","1380"
"265","1","<svn><collaboration>","5","2008-08-01 23:29:32","msbuild","15319"
"266","2","","","2008-08-01 23:40:28","",""
"268","2","","","2008-08-01 23:44:05","colemak","13"
"269","2","","","2008-08-01 23:49:57","qwerty","40"
"274","2","","","2008-08-01 23:58:35","",""
"289","1","<c#><.net><sorting><dictionary>","21","2008-08-02 00:40:58","",""
"290","2","","","2008-08-02 00:42:35","twitter","24963"
"291","2","","","2008-08-02 00:43:38","yahoo","1044"
"292","2","","","2008-08-02 00:47:48","cookies","35217"
"297","2","","","2008-08-02 01:10:41","",""
"298","2","","","2008-08-02 01:15:42","",""
"304","2","","","2008-08-02 01:38:14","",""
"307","2","","","2008-08-02 01:49:46","",""
"308","1","<sql><database><oracle-database><version-control>","22","2008-08-02 01:52:54","directx","5968"
"310","2","","","2008-08-02 01:56:51","",""
"328","1","<security><php>","13","2008-08-02 02:41:34","account","1341"
"329","2","","","2008-08-02 02:43:42","viewstate","1586"
"330","1","<c++><class><oop><inner-classes>","10","2008-08-02 02:51:36","safari","17876"
"331","2","","","2008-08-02 02:55:07","",""
"332","2","","","2008-08-02 03:00:24","",""
"335","2","","","2008-08-02 03:16:19","cvs","1521"
"336","1","<language-agnostic><types>","6","2008-08-02 03:34:44","",""
"337","1","<python><xml>","12","2008-08-02 03:35:55","",""
"339","2","","","2008-08-02 03:49:21","",""
"342","2","","","2008-08-02 04:01:34","queue","11270"
"344","2","","","2008-08-02 04:18:15","nant","1039"
"347","2","","","2008-08-02 04:31:54","rockbox","4"
"352","2","","","2008-08-02 05:20:22","nhibernate","17521"
"354","2","","","2008-08-02 05:51:57","",""
"356","2","","","2008-08-02 06:05:04","",""
"359","2","","","2008-08-02 06:16:23","permissions","17813"
"360","2","","","2008-08-02 06:23:33","parameters","22865"
"361","1","<string><language-agnostic><cross-platform><permutation><combinatorics>","36","2008-08-02 06:57:57","methods","30510"
"362","2","","","2008-08-02 07:48:07","",""
"363","2","","","2008-08-02 07:48:56","ajax","220627"
"364","2","","","2008-08-02 07:56:07","rest","92258"
"367","2","","","2008-08-02 08:08:22","syntax","21678"
"371","1","<email><email-spam>","24","2008-08-02 08:19:18","emacs","17830"
"375","2","","","2008-08-02 08:32:04","polymorphism","10460"
"382","1","<java><generics><warnings><casting><type-safety>","1","2008-08-02 08:58:27","wordpress","191404"
"384","2","","","2008-08-02 08:58:48","",""
"387","1","<search><lucene>","3","2008-08-02 09:28:17","bash","157034"
"388","2","","","2008-08-02 09:40:54","",""
"391","2","","","2008-08-02 09:51:00","terminal","24660"
"392","2","","","2008-08-02 09:52:36","apple-touch-icon","80"
"396","2","","","2008-08-02 10:21:54","",""
"397","2","","","2008-08-02 10:22:41","",""
"402","1","<ios><objective-c><landscape>","8","2008-08-02 10:47:08","statistics","16371"
"407","2","","","2008-08-02 11:05:55","application-integration","10"
"411","2","","","2008-08-02 11:24:57","",""
"412","2","","","2008-08-02 11:30:47","",""
"419","1","<com><vb6>","1","2008-08-02 11:52:01","planning","151"
"427","1","<internet-explorer><windows-mobile><pocketpc>","3","2008-08-02 12:12:02","anchor","5042"
"430","2","","","2008-08-02 12:28:12","quotes","2150"
"438","1","<ruby-on-rails><ruby><http>","7","2008-08-02 12:56:58","ergonomics","40"
"451","2","","","2008-08-02 13:45:57","double","8384"
"467","2","","","2008-08-02 14:57:13","",""
"469","1","<python><macos><fonts><photoshop>","6","2008-08-02 15:11:16","checkbox","29943"
"470","1","<.net><web-services>","1","2008-08-02 15:11:47","asp.net-mvc","200773"
"471","2","","","2008-08-02 15:21:03","",""
"473","2","","","2008-08-02 15:33:13","",""
"482","1","<c#><winforms><data-binding>","2","2008-08-02 16:09:56","",""
"483","2","","","2008-08-02 16:10:42","",""
"497","2","","","2008-08-02 16:56:53","",""
"502","1","<python><windows><image><pdf>","4","2008-08-02 17:01:58","",""
"509","2","","","2008-08-02 17:18:12","",""
"514","1","<ruby-on-rails><ruby><crash>","4","2008-08-02 17:26:39","diagram","1910"
"516","2","","","2008-08-02 17:33:54","obfuscation","3027"
"518","2","","","2008-08-02 17:42:28","forum","871"
"519","2","","","2008-08-02 17:50:34","video","33943"
"521","2","","","2008-08-02 17:54:50","payment","3471"
"522","2","","","2008-08-02 17:57:06","excel","290463"
"525","2","","","2008-08-02 18:04:10","",""
"529","2","","","2008-08-02 18:16:07","installation","29695"
"530","2","","","2008-08-02 18:21:21","",""
"531","2","","","2008-08-02 18:22:52","scripting","17726"
"532","2","","","2008-08-02 18:30:34","",""
"535","1","<python><continuous-integration><extreme-programming>","7","2008-08-02 18:43:54","",""
"536","2","","","2008-08-02 18:49:07","hosting","5721"
"537","2","","","2008-08-02 18:49:30","",""
"538","2","","","2008-08-02 18:56:56","erlang","9702"
"539","2","","","2008-08-02 19:03:52","",""
"540","2","","","2008-08-02 19:06:38","verification","1472"
"541","2","","","2008-08-02 19:06:40","getter","1905"
"549","1","<forms><http><security><authentication><language-agnostic>","11","2008-08-02 19:51:50","ubuntu","61066"
"551","2","","","2008-08-02 20:03:06","",""
"555","2","","","2008-08-02 20:40:45","formatting","13920"
"561","1","<unit-testing><language-agnostic><testing>","5","2008-08-02 21:34:24","",""
"562","1","<c#><asp.net><medium-trust>","1","2008-08-02 21:39:11","turkish","179"
"564","1","<c#><java><integer><int>","26","2008-08-02 21:47:34","modi","63"
"566","2","","","2008-08-02 21:55:45","",""
"568","2","","","2008-08-02 22:05:08","",""
"576","2","","","2008-08-02 23:00:53","",""
"580","1","<sql-server><sql-server-2005><deployment><release-management>","14","2008-08-02 23:30:59","perl","68370"
"582","2","","","2008-08-02 23:33:30","each","3863"
"583","2","","","2008-08-02 23:37:10","boot","1555"
"585","2","","","2008-08-02 23:40:04","procedural","62"
"586","2","","","2008-08-02 23:51:09","maintainability","314"
"588","1","<php><windows><exchange-server><webdav><mapi>","9","2008-08-03 00:03:58","comparison","8211"
"589","2","","","2008-08-03 00:04:59","",""
"590","2","","","2008-08-03 00:22:03","",""
"591","2","","","2008-08-03 00:37:03","",""
"594","1","<python><sql><database><oracle-database><cx-oracle>","3","2008-08-03 01:15:08","",""
"595","2","","","2008-08-03 01:17:36","",""
"597","2","","","2008-08-03 01:38:02","",""
"598","2","","","2008-08-03 01:39:56","performance","103219"
"599","2","","","2008-08-03 01:49:58","",""
"601","1","<c#><c++><random><mersenne-twister>","5","2008-08-03 02:05:59","cron","19484"
"602","2","","","2008-08-03 02:18:57","settings","5480"
"605","2","","","2008-08-03 02:26:33","mbunit","247"
"607","2","","","2008-08-03 02:30:05",".htaccess","72751"
"608","2","","","2008-08-03 02:32:50","mod-rewrite","33061"
"609","1","<c++><visual-studio><compatibility><windows-nt>","5","2008-08-03 02:48:43","mappath","17"
"611","2","","","2008-08-03 03:07:30","",""
"619","2","","","2008-08-03 05:22:20","interface-design","33"
"622","1","<performance><algorithm><primes>","31","2008-08-03 05:45:21","",""
"623","2","","","2008-08-03 06:03:35","complexity-theory","3894"
"626","1","<ruby><lambda><proc>","14","2008-08-03 06:40:54","",""
"629","2","","","2008-08-03 07:28:54","ienumerable","3579"
"633","2","","","2008-08-03 07:50:37","vpn","3296"
"635","2","","","2008-08-03 08:34:57","",""
"644","1","<sql><database>","12","2008-08-03 09:55:26","xhtml","6721"
"650","1","<c#><visual-studio><versioning>","8","2008-08-03 11:12:52","rake","4366"
"651","1","<asp.net><iis><authentication><active-directory>","3","2008-08-03 11:21:54","",""
"655","2","","","2008-08-03 11:41:38","sap","155"
"657","1","<php><encryption><passwords>","8","2008-08-03 11:50:33","integration","4909"
"660","2","","","2008-08-03 12:09:18","",""
"665","2","","","2008-08-03 12:26:35","",""
"667","2","","","2008-08-03 12:34:36","ram","2353"
"669","2","","","2008-08-03 12:48:36","sharepoint","29516"
"676","2","","","2008-08-03 13:01:24","",""
"679","2","","","2008-08-03 13:12:21","",""
"681","2","","","2008-08-03 13:14:48","64-bit","6131"
"683","1","<python><arrays><iteration>","8","2008-08-03 13:19:16","innerxml","13"
"684","2","","","2008-08-03 13:22:25","replication","3920"
"691","2","","","2008-08-03 13:48:25","firefox","38898"
"693","2","","","2008-08-03 13:57:01","",""
"695","2","","","2008-08-03 13:59:24","",""
"696","1","<php><database><odbc><db2><ibm-midrange>","9","2008-08-03 14:03:28","profiler","1739"
"699","2","","","2008-08-03 14:27:20","",""
"701","2","","","2008-08-03 14:30:50","paradigms","293"
"704","2","","","2008-08-03 14:39:09","",""
"709","1","<c#><.net><visual-studio><unit-testing><nunit>","10","2008-08-03 14:53:53","",""
"712","2","","","2008-08-03 14:57:44","",""
"713","2","","","2008-08-03 14:59:20","ear","1240"
"717","1","<.net><sql-server-2005><oledb><legacy><visual-foxpro>","3","2008-08-03 15:07:10","merge","25277"
"718","2","","","2008-08-03 15:07:20","",""
"723","2","","","2008-08-03 15:21:52","evaluation","1368"
"725","2","","","2008-08-03 15:24:38","configuration","18253"
"735","2","","","2008-08-03 15:47:22","messaging","2597"
